index,Date,Open,High,Low,Close,Volume,L_score,S_score
1,"Oct 5, 2016",71.60,71.85,71.45,71.50,"2,830,000",0,0
2,"Oct 6, 2016",71.70,71.75,71.45,71.70,"2,066,000",0,0
3,"Oct 7, 2016",71.60,71.80,71.60,71.65,"3,047,000",0,0
4,"Oct 11, 2016",72.35,72.45,71.20,71.45,"6,939,000",0,0
5,"Oct 12, 2016",71.50,72.30,71.35,72.25,"6,044,000",0,0
6,"Oct 13, 2016",72.20,72.30,71.45,71.70,"5,446,000",0,0
7,"Oct 14, 2016",71.30,71.90,71.30,71.45,"3,623,000",0,0
8,"Oct 17, 2016",71.45,71.60,70.60,71.45,"4,417,000",0,0
9,"Oct 18, 2016",71.50,71.95,71.30,71.95,"3,610,000",0,0
10,"Oct 19, 2016",72.00,72.60,72.00,72.35,"21,565,000",0,0
11,"Oct 20, 2016",72.35,72.75,72.35,72.65,"4,827,000",0,0
12,"Oct 21, 2016",72.65,73.05,72.55,72.60,"4,228,000",0,0
13,"Oct 24, 2016",72.85,72.95,72.60,72.70,"3,253,000",0,0
14,"Oct 25, 2016",72.85,73.50,72.85,73.40,"3,699,000",0,0
15,"Oct 26, 2016",73.00,73.15,72.90,73.00,"2,862,000",0,0
16,"Oct 27, 2016",73.00,73.15,72.40,72.60,"3,160,000",0,0
17,"Oct 28, 2016",72.60,72.75,72.45,72.60,"4,268,000",0,0
18,"Oct 31, 2016",72.25,72.70,71.70,72.60,"5,457,000",0,0
19,"Nov 1, 2016",72.25,72.60,72.10,72.60,"2,020,000",0,0
20,"Nov 2, 2016",71.95,72.00,71.60,71.75,"5,477,000",0,0
21,"Nov 3, 2016",71.45,71.60,71.10,71.20,"4,537,000",0,0
22,"Nov 4, 2016",71.00,71.20,70.85,71.00,"4,336,000",0,0
23,"Nov 7, 2016",71.80,72.00,71.45,72.00,"3,227,000",0,0
24,"Nov 8, 2016",72.15,72.40,72.00,72.35,"2,688,000",0,0
25,"Nov 9, 2016",72.85,73.05,70.00,70.00,"19,902,000",0,0
26,"Nov 10, 2016",71.80,72.10,71.75,72.00,"6,671,000",0,0
27,"Nov 11, 2016",70.35,70.70,69.95,70.05,"8,296,000",0,0
28,"Nov 14, 2016",69.95,70.30,69.45,70.10,"7,099,000",0,0
29,"Nov 15, 2016",69.80,70.10,69.75,69.90,"4,007,000",0,0
30,"Nov 16, 2016",70.20,70.50,69.95,70.00,"24,722,000",0,0
31,"Nov 17, 2016",70.00,70.20,69.75,70.20,"3,303,000",0,0
32,"Nov 18, 2016",70.10,70.40,69.90,70.40,"2,111,000",0,0
33,"Nov 21, 2016",70.30,70.50,70.10,70.50,"2,643,000",0,0
34,"Nov 22, 2016",70.75,71.65,70.75,71.45,"5,275,000",0,0
35,"Nov 23, 2016",71.50,71.90,71.45,71.80,"1,902,000",0,0
36,"Nov 24, 2016",71.60,71.60,71.20,71.40,"2,295,000",0,0
37,"Nov 25, 2016",71.35,71.65,71.25,71.35,"2,641,000",0,0
38,"Nov 28, 2016",71.35,72.00,71.35,71.75,"2,642,000",0,0
39,"Nov 29, 2016",71.90,72.00,71.65,71.65,"1,414,000",0,0
40,"Nov 30, 2016",71.70,71.90,71.50,71.70,"1,913,000",0,0
41,"Dec 1, 2016",71.60,72.10,71.60,72.00,"1,947,000",0,0
42,"Dec 2, 2016",71.20,71.20,70.90,71.20,"3,302,000",0,0
43,"Dec 5, 2016",71.20,71.20,70.80,71.10,"1,382,000",0,0
44,"Dec 6, 2016",71.80,72.20,71.75,72.00,"2,430,000",0,0
45,"Dec 7, 2016",72.20,72.35,71.90,72.00,"1,462,000",0,0
46,"Dec 8, 2016",72.30,73.00,72.30,72.90,"6,068,000",0,0
47,"Dec 9, 2016",73.05,73.20,72.95,73.15,"5,410,000",0,0
48,"Dec 12, 2016",73.30,73.55,72.75,72.85,"3,199,000",0,0
49,"Dec 13, 2016",72.85,73.00,72.65,72.95,"2,543,000",0,0
50,"Dec 14, 2016",73.20,73.30,72.90,73.10,"2,820,000",0,0
51,"Dec 15, 2016",72.55,73.00,72.40,73.00,"3,013,000",0,0
52,"Dec 16, 2016",72.80,72.80,72.30,72.30,"2,143,000",0,0
53,"Dec 19, 2016",72.25,72.30,71.85,71.85,"2,669,000",0,0
54,"Dec 20, 2016",71.95,71.95,71.55,71.75,"2,025,000",0,0
55,"Dec 21, 2016",71.75,71.85,71.50,71.70,"9,311,000",0,0
56,"Dec 22, 2016",71.55,71.55,70.80,70.80,"4,961,000",0,0
57,"Dec 23, 2016",70.60,70.85,70.35,70.55,"5,117,000",0,0
58,"Dec 26, 2016",70.65,70.80,70.55,70.80,"2,101,000",0,0
59,"Dec 27, 2016",70.80,70.90,70.65,70.75,"2,491,000",0,10
60,"Dec 28, 2016",70.85,71.60,70.85,71.60,"3,677,000",0,0
61,"Dec 29, 2016",71.45,71.45,71.20,71.25,"1,897,000",0,0
62,"Dec 30, 2016",71.65,72.00,71.55,71.80,"2,715,000",0,0
63,"Jan 3, 2017",71.70,71.90,71.50,71.90,"2,324,000",0,0
64,"Jan 4, 2017",72.00,72.10,71.75,71.85,"4,274,000",0,6
65,"Jan 5, 2017",71.85,72.50,71.80,72.50,"4,559,000",0,0
66,"Jan 6, 2017",72.45,72.75,72.45,72.65,"3,746,000",0,5
67,"Jan 9, 2017",72.75,72.95,72.30,72.45,"5,032,000",0,3
68,"Jan 10, 2017",72.45,72.60,72.40,72.40,"1,854,000",0,0
69,"Jan 11, 2017",72.80,72.85,72.40,72.40,"1,892,000",0,0
70,"Jan 12, 2017",72.60,73.30,72.60,73.15,"4,849,000",0,0
71,"Jan 13, 2017",72.80,72.80,72.60,72.60,"3,900,000",10,0
72,"Jan 16, 2017",72.40,72.40,71.80,72.00,"2,406,000",23,3
73,"Jan 17, 2017",72.00,72.40,72.00,72.30,"1,569,000",3,0
74,"Jan 18, 2017",72.20,72.20,72.05,72.15,"3,830,000",0,0
75,"Jan 19, 2017",71.85,72.10,71.60,71.95,"4,061,000",0,0
76,"Jan 20, 2017",71.95,72.25,71.95,72.15,"2,414,000",0,0
77,"Jan 23, 2017",72.55,73.00,72.55,72.75,"5,958,000",0,0
78,"Jan 24, 2017",73.00,73.30,72.90,73.30,"4,541,000",0,0
79,"Feb 2, 2017",73.50,73.65,72.75,72.90,"6,981,000",0,0
80,"Feb 3, 2017",72.95,73.15,72.65,72.85,"2,799,000",0,0
81,"Feb 6, 2017",73.00,73.40,72.95,73.25,"2,933,000",0,0
82,"Feb 7, 2017",73.10,73.45,73.10,73.30,"4,278,000",2,0
83,"Feb 8, 2017",71.90,71.90,71.35,71.75,"4,425,000",14,0
84,"Feb 9, 2017",71.75,72.20,71.65,72.00,"3,539,000",10,2
85,"Feb 10, 2017",72.10,72.95,72.10,72.80,"4,850,000",5,0
86,"Feb 13, 2017",72.80,73.10,72.80,72.95,"3,320,000",20,5
87,"Feb 14, 2017",73.40,73.50,73.10,73.20,"6,045,000",0,0
88,"Feb 15, 2017",73.30,73.90,73.20,73.90,"9,375,000",0,0
89,"Feb 16, 2017",74.00,74.20,73.35,73.45,"5,456,000",0,0
90,"Feb 17, 2017",73.65,73.70,73.35,73.35,"5,185,000",0,0
