Date,Open,High,Low,Close,Volume
26-Sep-05,1.35,1.35,1.3,1.33,203
27-Sep-05,1.3,1.33,1.2,1.3,185
28-Sep-05,1.25,1.28,1.1,1.23,210
29-Sep-05,1.23,1.23,1.04,1.18,166
30-Sep-05,1.18,1.18,1.1,1.13,173
03-Oct-05,1.13,1.13,0.98,1.07,168
04-Oct-05,1.07,1.28,1.01,1.2,223
05-Oct-05,1.2,1.2,1.03,1.03,169
06-Oct-05,1.05,1.09,0.98,1.04,159
07-Oct-05,1.04,1.05,0.92,1.03,160
11-Oct-05,1.03,1.03,0.91,0.96,167
12-Oct-05,0.95,0.95,0.87,0.87,162
13-Oct-05,0.85,0.86,0.7,0.86,167
14-Oct-05,0.85,0.86,0.72,0.8,168
17-Oct-05,0.8,0.8,0.55,0.62,179
18-Oct-05,0.6,0.6,0.5,0.58,174
19-Oct-05,0.58,0.58,0.5,0.55,153
20-Oct-05,0.55,0.6,0.49,0.52,180
21-Oct-05,0.52,0.52,0.45,0.45,160
24-Oct-05,0.45,0.5,0.4,0.49,159
25-Oct-05,0.49,0.5,0.41,0.49,153
26-Oct-05,0.49,0.49,0.4,0.47,159
27-Oct-05,0.47,0.47,0.39,0.39,159
28-Oct-05,0.39,0.4,0.37,0.38,147
31-Oct-05,0.36,0.36,0.17,0.3,154
01-Nov-05,0.25,0.25,0.1,0.13,187
02-Nov-05,0.11,0.11,0.08,0.11,181
03-Nov-05,0.1,0.12,0.09,0.11,256
04-Nov-05,0.11,0.11,0.09,0.1,188
07-Nov-05,0.1,0.1,0.04,0.08,217
08-Nov-05,0.07,0.07,0.05,0.05,186
09-Nov-05,0.05,0.06,0.04,0.05,171
10-Nov-05,0.05,0.07,0.05,0.06,187
11-Nov-05,0.06,0.06,0.04,0.05,175
14-Nov-05,0.06,0.06,0.04,0.05,153
15-Nov-05,0.05,0.05,0.05,0.05,13
16-Nov-05,0.04,0.05,0.04,0.05,23
17-Nov-05,0.05,0.05,0.04,0.05,18
18-Nov-05,0.05,0.08,0.05,0.07,92
21-Nov-05,0.07,0.08,0.07,0.07,51
22-Nov-05,0.07,0.07,0.06,0.07,36
23-Nov-05,0.08,0.09,0.08,0.09,40
24-Nov-05,0.1,0.11,0.09,0.09,53
25-Nov-05,0.1,0.1,0.08,0.08,22
28-Nov-05,0.09,0.09,0.07,0.08,12
29-Nov-05,0.08,0.08,0.07,0.07,21
30-Nov-05,0.07,0.07,0.07,0.07,12
01-Dec-05,0.07,0.07,0.07,0.07,3
02-Dec-05,0.08,0.08,0.07,0.07,5
05-Dec-05,0.08,0.09,0.07,0.08,12
06-Dec-05,0.09,0.09,0.08,0.09,17
07-Dec-05,0.1,0.31,0.1,0.2,52
08-Dec-05,0.22,0.22,0.15,0.16,51
09-Dec-05,0.15,0.19,0.15,0.19,15
12-Dec-05,0.18,0.19,0.14,0.19,16
13-Dec-05,0.19,0.19,0.16,0.18,14
14-Dec-05,0.16,0.16,0.11,0.12,12
15-Dec-05,0.12,0.16,0.12,0.16,19
16-Dec-05,0.16,0.16,0.11,0.12,48
19-Dec-05,0.14,0.15,0.13,0.14,8
20-Dec-05,0.14,0.15,0.13,0.14,26
21-Dec-05,0.14,0.14,0.13,0.14,13
22-Dec-05,0.14,0.17,0.13,0.16,36
23-Dec-05,0.16,0.16,0.15,0.16,5
26-Dec-05,0.16,0.17,0.15,0.15,15
27-Dec-05,0.16,0.16,0.13,0.14,15
28-Dec-05,0.13,0.16,0.13,0.16,11
29-Dec-05,0.16,0.17,0.16,0.17,14
30-Dec-05,0.17,0.2,0.17,0.17,37
02-Jan-06,0.17,0.17,0.13,0.13,8
03-Jan-06,0.12,0.16,0.12,0.16,15
04-Jan-06,0.13,0.16,0.12,0.14,8
05-Jan-06,0.13,0.18,0.13,0.17,18
06-Jan-06,0.2,0.22,0.17,0.2,27
09-Jan-06,0.4,0.4,0.21,0.21,10
10-Jan-06,0.23,0.23,0.2,0.2,9
11-Jan-06,0.2,0.23,0.2,0.23,5
12-Jan-06,0.23,0.33,0.23,0.3,16
13-Jan-06,0.32,0.33,0.01,0.33,21
16-Jan-06,0.32,0.33,0.3,0.33,10
17-Jan-06,0.33,0.33,0.2,0.26,9
18-Jan-06,0.2,0.25,0.15,0.15,26
19-Jan-06,0.2,0.21,0.2,0.21,4
20-Jan-06,0.23,0.23,0.23,0.23,1
23-Jan-06,0.2,0.2,0.05,0.05,7
24-Jan-06,0.14,0.18,0.13,0.14,8
25-Jan-06,0.11,0.12,0.11,0.12,2
