targetName,score,date,S_score,title,isTarget,L_score,content
,261,2017-02-18 14:02:56,0,[閒聊] 2017/02/18 盤後閒聊,0,0,"
各位安安
沒人開
有賺錢錢嗎？

--
"
,7,2017-02-09 23:50:52,0,[公告] 板規增訂說明 手續費相關規範,0,0,"

板規1-4 [請益]分類

新增板規如下：
"
,18,2017-01-01 00:30:48,0,[其他] 106年股市開（休）市日期表,0,0,"
             中華民國106年有價證券集中交易市場開（休）市日期表

名稱                  日期   星期   說明
中華民國開國紀念日   1月 1日  日    依規定放假1日。
                     "
,0,2015-01-25 23:18:20,0,[公告] 精華區導覽Q&A,0,0,"
"
,0,2017-02-18 22:23:42,0,Re: [新聞] 南韓海運龍頭 韓進海運今宣告破產,0,0,"
"
,6,2017-02-18 21:30:19,0,Re: [標的] 2637慧洋,1,6,"
雖然沒有照著想法走
看不透 匯率的影響
短線真不適合我
持續持有 放長

有耐心的人才能賺到大錢

真的反彈2606会漲得比2637多
兩者都持有， 終会迎向景氣的浪潮



"
,3,2017-02-18 20:48:41,0,Re: [新聞] 南韓海運龍頭 韓進海運今宣告破產,0,0,"
"
,37,2017-02-18 20:37:58,0,[公告] pub0418違反板規4-4水桶一週,0,0,"
主旨：pub0418違反板規4-4水桶一週

類型：股板簡字號20170218-1

說明：板主巡查察板面，查pub0418發文違反板規4-4。
      處份水桶一週。

"
,19,2017-02-18 20:36:43,0,[其他] 106年02月18日信用交易統計,0,0,"
106年02月18日信用交易統計

項目            買進         賣出     現金(券)償還    前日餘額     今日餘額

融資(交易單位)  325,658     301,197      2,532      8,845,171      8,867,100
融券(交易單位)  22,379      23,537       3,404      471,852        469,606
融資金額(仟元)  6,360,361   5,362,914    51,145     137,385,287    138,331,589


"
,4,2017-02-18 20:05:16,0,Re: [新聞] 新光金雙姝鬥　公主們真得這麼棒？,0,0,"
"
,38,2017-02-18 17:20:29,0,Re: [新聞] 南韓海運龍頭 韓進海運今宣告破產,0,0,"
"
,163,2017-02-18 17:14:10,0,Re: [標的] 網家,1,163,"
藉由網家這篇想要講一下，昨天小弟為什麼這麼堅持住自己的看法，不論是推文一片倒的
看壞，還有神人表示還在做空，為什麼還能堅持己見？





前情提要：
禮拜四，網家217元時PO文。

禮拜五，最低殺到212元時，於推文中有說個人攤平212.5買進20張，拉起來後做個簡單的
價差減少成本。 (於推文有帳單)

禮拜六，就如今日大家所見，漲得嫑嫑的。
下禮拜一，個人猜測外資應該會發現他們根據自己的分析把這隻殺得過低了，重新進來抬
轎，不過這個猜測要再觀察。





當今天一個操作蠻猛的神人，說不要買這檔或他在做空時，必須先思考：

i. 這個神人的操作週期是否與你相同？不是的話，那就是不同領域的阿，這個時候對方
說的話可以參考，但不能沒有主見。對方可以賺錢，你也可以賺錢。

ii. 若經過驗證的交易系統，資金控制好，輸一次會怎樣嗎？換句話說，對自己的交易系
統有信心嗎？神人做反向就做向，尊重別人的意見，而自己系統該輸的就給他輸阿。





當今天若有基本面分析講得頭頭是道，說應該要再跌個30%時，對於短期價格怎麼思考？

i. 基本面的分析的項目，是否會影響即將出爐的營收年報季報，換句話說是否馬上顯現
？若不是馬上顯現，請思考基本面發酵前價格若殺到這邊合理，但時間還沒到發酵的當下
，
那就有反彈的機會，也就是股價殺過頭了。

ii.如果即將出爐的營收真的很慘，那就盡量不要碰，像是印象中2013年的TPK營收出爐跌
停xD。

iii. 以上兩點，就是想強調，時間真的對股票很重要。





小弟被酸的心路歷程 (&感謝ptt)

6~7年前約莫大二還大三時，那時拿了三萬元的獎學金初入市場進來玩權證，權證的好處
就是可以讓資金小的短線操作者享受分批的操作感(?)，就能用小錢驗證短線系統行不行
。
其實還蠻推薦如果資金不多又想操作大型股的，那時覺得賠光3w出社會一個月就能賺得回
來，所以就進場學經驗了。雖然資金小賠了也沒差，但因為生性保守加上開始看股票之前
算是重度鄉民，進場前真的是翻過很多ptt前輩的分享(大部分都是分享操作非分享方法)
文來看，不管是賠錢的賺錢的都看，想法是能免費的賺到一個經驗就賺一個。取之於ptt
，還之於ptt，所以覺得就算就算最壞的情況，小弟PO文賠錢好了，小弟也要堅持在ptt P
O文這件事，因為賠錢也可以讓大家當個借鑒。
如果真的如大家所說找人抬轎，那我大可連mobile01、e-stcok討論版、COCO研究院都一
起PO，ctlr+c+v複製貼上很快阿，
又更多人看到，然後再創個集合眾人的LINE群組請大家一起抬這樣更好啊，但小弟就沒這
麼做嘛.......

回到大二大三那時，小弟那時操作方法就是很簡單，看到跌+出量就買，
那時每一篇的推文跟這次網家很像，全都是一面倒的說會GG，而且都在嘲笑接刀，還要跟
你反著做，
但小弟現在真心慶幸自己有PO文，因為跌+出量，勝率根本低到不行，有時候反而是一個
趨勢的開始！
那一年透過ptt東參考一篇西參考一篇最主要還有透過po文認識的前輩討論時蹦出的火花
，總共加了快五六個濾網來篩股，
要謝得太多，只能謝ptt了xD

印象中到差不多大三還大四時，
技術分析方法完善後，
勝率開始變很高，
很多PO文一PO就是低點(那時的標的總不會有跟風抬轎這種事吧吧.....)
但大約10%~15%的標的，有時候還是會死在一些基本面或是消息面或是營收季報，
當時，小弟根本押根沒看那些東西，自然會有一些風險出現。

碩班開始研究一些時間與消息面與基本經濟後....

(先富奸一下回到網家)



網家這檔今天這樣拉，很多人說是外資放假的因素，
但小弟原本買進時只有當參考而已，操作就是技術分析設定買在xxx跟xxx還有某整數價位
(整數價位機率較低)，
(為什麼當初不寫價格？因為網路分析文不能寫目標價什麼的，小弟有寫在內文說，小弟
實際操作成本還會持續攤平)



但今天這樣子重新反應技術面該出現的反彈，
想請問大家外資會不會看到純大紅棒棒，
是不是會重新省思自己是不是把這隻股短期賣太低了，
然後跑回來抬轎呢？
想請問各位怎麼看呢？

--
"
,26,2017-02-18 16:33:58,0,[新聞] 尹衍樑要賣股 金管會盯,0,0,"
尹衍樑要賣股 金管會盯
2017-02-18 02:05:51 經濟日報 記者吳靜君／台北報導

1.原文連結(超過一行或過長必須縮網址)：
"
,23,2017-02-18 16:12:41,0,Re: [標的] 5009榮剛,1,23,"
各位單月50%安安

榮剛來報告一下後續

目前小弟妹還是一張不賣

進場的主要理由籌碼面尚未改變

所以繼續持有

直到籌面出現出貨或改變慣性在上來報告

感恩SF

"
,40,2017-02-18 16:01:35,0,[新聞] 新光金雙姝鬥　公主們真得這麼棒？,0,0,"

1.原文連結(超過一行或過長必須縮網址)：
"
,24,2017-02-18 15:50:00,0,[新聞] 就勢論勢-搶賺iPhone 8題材 「車輪式」,0,0,"

就勢論勢-搶賺iPhone 8題材 「車輪式」布局勝率最高

1.原文連結(超過一行或過長必須縮網址)：

"
,13,2017-02-18 15:43:08,0,[新聞] 敦泰營運看俏 股漲28個月來新高,0,0,"

1.原文連結(超過一行或過長必須縮網址)：

"
,51,2017-02-18 14:43:31,0,[其他] 106年02月18日三大法人買賣金額統計表,0,0,"
"
,29,2017-02-18 13:15:15,0,[新聞] 高鑫零售小金雞要出嫁，潤泰全、潤泰新?1,0,0,"
"
,127,2017-02-18 11:45:52,0,[新聞] 尹衍樑：謝謝妳還記得我,0,0,"

1.原文連結：
"
,27,2017-02-18 11:31:53,0,[請益] 請問匯兌損益,0,0,"
請問像電子業匯損這麼嚴重是會在
1.一月自結損益
2.三月自結損益
3.第一季財報

如果股價太飆漲被要求披露財務，會在1選項出現嗎

是的話我要先跑了，謝謝大家


-------------------------------------------------------------------------
1.發文前請先詳閱[請益]分類發文規範，未依規範發文將受處份。
2.若提及股號股名，且屬未來性的預測或分析有推薦意圖，
  請寫到 [標的] 分類，否則將以板規4-1砍文處份。
----------------------------按ctrl+y可刪除以上內容。---------------------

--
"
,94,2017-02-18 11:18:28,0,[新聞] 為時未晚！ 巴菲特99%的財富 50歲以後才,0,0,"
-------------------------------------------------------------------------
1.發文前請先詳閱[新聞]分類發文規範，未依規範發文將受處份。
2.連結過長請善用 "
,17,2017-02-18 11:01:56,0,[新聞] 錩新Tesla新單加持 今年獲利續拚新高,0,0,"

1.原文連結(超過一行或過長必須縮網址)：

"
,14,2017-02-18 19:52:50,0,[請益] 開公司當假外資和個人操作差異很多嗎?,0,0,"
現在好像滿流行合資當假外資的

好像可以節稅 好處比較多

有沒有高手可以分享一下 兩者的差異

--
"
,4,2017-02-18 19:37:56,0,Re: [請益] 股市技術指標K9、D9中「數字9」的意義?,0,0,"
"
,71,2017-02-18 09:26:03,0,Re: [標的] 2448 晶電,1,71,"
這檔進場了幾次
目前10張
成本約23.6
這是目前我的狀況

晶電,我的感受是
只要一盤起來
就是在比耐性
讓人實在很煩躁

今天主力為何選擇拉這檔股本大的LED一哥
我不知道
我知道的
晶電,總是
就一陣的過眼雲煙
持久度實在稍嫌不夠
好像有人在來回作價差似的
這就是晶電給我的感覺

今天漲停,我沒出場
就一個貪字而已,沒別的

晚上看籌碼
發現今天主要拉抬的
都是市場上赫赫有名的隔日沖主力

這些人
倒完貨就入袋,之後也沒他的事
倒楣的絕對是我小慘戶

如果市場後續盤勢不夠強
之後多殺多,馬上回歸平淡

接著進入盤整局
一盤又不知道是打算盤多久
錢又開始卡死在那邊
甚至還賠錢
這是一個最惡劣的狀況

最後,迎接我的
又是一場空

當然可能背後有什麼利多
或者類股輪動怎樣怎樣的,強者恆強
也能選擇這樣想是沒錯!

BUT~
當我看到主力是這些人
不管他們是計畫如何出掉手上近萬張的單
我心理已經有出場的打算
不打算繼續跟他耗


分享我2種出場方式


#明天開高
馬上分批出場

#3日盤中沒創高
分批全部出場
3日內,全出

當然
小慘戶我沒辦法預測後續是否還有高點
也不是說在鼓吹大家出貨
就純粹是心得
分享給各位晶電的小股東們參考

--
"
,956,2017-02-18 08:31:01,0,[閒聊] 2017/02/18 盤中閒聊,0,0,"
補班

狼大也放假了

今天會多死魚？

--
"
,21,2017-02-18 07:59:24,0,[請益] 葉黃素相關股票,0,0,"


  各位前輩, 想請教一下三多葉黃素是否有相關產業的股票?

  或者其他家公司有相關葉黃素的股票可以投資嗎?

  感謝

--
"
,16,2017-02-18 07:46:05,0,[新聞] 瀚宇博105年合併獲利。每股稅後2.10元,0,0,"

1.原文連結(超過一行或過長必須縮網址)：

"
